,Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,DOT_ID_Reporting_Airline,IATA_CODE_Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum
1138604,1996,4,10,15,2,1996-10-15,DL,19790,DL,N831WA,1604,15370,1537001,34653,TUL,"Tulsa, OK",OK,40.0,Oklahoma,73,10397,1039702,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,34,600,623.0,23.0,23.0,1.0,1.0,0600-0659,9.0,632.0,859.0,4.0,838,903.0,25.0,25.0,1.0,1.0,0800-0859,0.0,,0.0,98.0,100.0,87.0,1.0,674.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996685,1987,4,12,18,5,1987-12-18,TW,20211,TW,,531,10821,1082102,30852,BWI,"Baltimore, MD",MD,24.0,Maryland,35,15016,1501601,31123,STL,"St. Louis, MO",MO,29.0,Missouri,64,645,701.0,16.0,16.0,1.0,1.0,0600-0659,,,,,759,822.0,23.0,23.0,1.0,1.0,0700-0759,0.0,,0.0,134.0,141.0,,1.0,737.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349868,1993,3,8,7,6,1993-08-07,DL,19790,DL,,508,11298,1129802,30194,DFW,"Dallas/Fort Worth, TX",TX,48.0,Texas,74,13244,1324401,33244,MEM,"Memphis, TN",TN,47.0,Tennessee,54,1024,1022.0,-2.0,0.0,0.0,-1.0,1000-1059,,,,,1140,1241.0,61.0,61.0,1.0,4.0,1100-1159,0.0,,0.0,76.0,139.0,,1.0,432.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010172,1992,3,8,7,5,1992-08-07,AA,19805,AA,,189,11298,1129802,30194,DFW,"Dallas/Fort Worth, TX",TX,48.0,Texas,74,14689,1468901,34689,SBA,"Santa Barbara, CA",CA,6.0,California,91,1058,1108.0,10.0,10.0,0.0,0.0,1000-1059,,,,,1204,1214.0,10.0,10.0,0.0,0.0,1200-1259,0.0,,0.0,186.0,186.0,,1.0,1315.0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491807,1998,2,4,21,2,1998-04-21,WN,19393,WN,N643,112,13204,1320401,31454,MCO,"Orlando, FL",FL,12.0,Florida,33,13495,1349501,33495,MSY,"New Orleans, LA",LA,22.0,Louisiana,72,835,835.0,0.0,0.0,0.0,0.0,0800-0859,11.0,846.0,919.0,3.0,920,922.0,2.0,2.0,0.0,0.0,0900-0959,0.0,,0.0,105.0,107.0,93.0,1.0,550.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580797,2000,4,12,1,5,2000-12-01,UA,19977,UA,N426UA,202,12892,1289201,32575,LAX,"Los Angeles, CA",CA,6.0,California,91,12264,1226401,30852,IAD,"Washington, DC",VA,51.0,Virginia,38,2205,2202.0,-3.0,0.0,0.0,-1.0,2200-2259,14.0,2216.0,519.0,6.0,551,525.0,-26.0,0.0,0.0,-2.0,0001-0559,0.0,,0.0,286.0,263.0,243.0,1.0,2288.0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71587,2008,2,4,30,3,2008-04-30,UA,19977,UA,N337UA,81,11292,1129202,30325,DEN,"Denver, CO",CO,8.0,Colorado,82,12892,1289201,32575,LAX,"Los Angeles, CA",CA,6.0,California,91,600,555.0,-5.0,0.0,0.0,-1.0,0600-0659,14.0,609.0,724.0,12.0,725,736.0,11.0,11.0,0.0,0.0,0700-0759,0.0,,0.0,145.0,161.0,135.0,1.0,862.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498916,1994,2,6,10,5,1994-06-10,DL,19790,DL,,1260,13422,1342201,30562,MOB,"Mobile, AL",AL,1.0,Alabama,51,10397,1039702,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,34,1020,1027.0,7.0,7.0,0.0,0.0,1000-1059,,,,,1230,1230.0,0.0,0.0,0.0,0.0,1200-1259,0.0,,0.0,70.0,63.0,,1.0,302.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292253,1999,2,4,6,2,1999-04-06,WN,19393,WN,N383,59,12191,1219101,31453,HOU,"Houston, TX",TX,48.0,Texas,74,12206,1220601,32206,HRL,"Harlingen/San Benito, TX",TX,48.0,Texas,74,2210,2210.0,0.0,0.0,0.0,0.0,2200-2259,6.0,2216.0,2300.0,1.0,2305,2301.0,-4.0,0.0,0.0,-1.0,2300-2359,0.0,,0.0,55.0,51.0,44.0,1.0,276.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977965,2008,2,4,17,4,2008-04-17,WN,19393,WN,N379SW,420,11259,1125902,30194,DAL,"Dallas, TX",TX,48.0,Texas,74,10423,1042302,30423,AUS,"Austin, TX",TX,48.0,Texas,74,1405,1413.0,8.0,8.0,0.0,0.0,1400-1459,6.0,1419.0,1455.0,4.0,1455,1459.0,4.0,4.0,0.0,0.0,1400-1459,0.0,,0.0,50.0,46.0,36.0,1.0,189.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146246,2009,1,1,31,6,2009-01-31,US,20355,US,N505AU,1554,11298,1129802,30194,DFW,"Dallas/Fort Worth, TX",TX,48.0,Texas,74,11057,1105702,31057,CLT,"Charlotte, NC",NC,37.0,North Carolina,36,1505,1510.0,5.0,5.0,0.0,0.0,1500-1559,14.0,1524.0,1828.0,8.0,1826,1836.0,10.0,10.0,0.0,0.0,1800-1859,0.0,,0.0,141.0,146.0,124.0,1.0,936.0,4,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583621,2004,4,10,12,2,2004-10-12,EV,20366,EV,N864AS,4416,11298,1129802,30194,DFW,"Dallas/Fort Worth, TX",TX,48.0,Texas,74,13277,1327701,33277,MGM,"Montgomery, AL",AL,1.0,Alabama,51,1305,1305.0,0.0,0.0,0.0,0.0,1300-1359,23.0,1328.0,1444.0,3.0,1451,1447.0,-4.0,0.0,0.0,-1.0,1400-1459,0.0,,0.0,106.0,102.0,76.0,1.0,622.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070097,2013,2,5,10,5,2013-05-10,WN,19393,WN,N622SW,3401,12892,1289203,32575,LAX,"Los Angeles, CA",CA,6.0,California,91,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49.0,Utah,87,1525,1529.0,4.0,4.0,0.0,0.0,1500-1559,6.0,1535.0,1805.0,3.0,1810,1808.0,-2.0,0.0,0.0,-1.0,1800-1859,0.0,,0.0,105.0,99.0,90.0,1.0,590.0,3,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1735510,2003,2,4,20,7,2003-04-20,WN,19393,WN,N711,499,14869,1486902,34614,SLC,"Salt Lake City, UT",UT,49.0,Utah,87,13796,1379601,32457,OAK,"Oakland, CA",CA,6.0,California,91,1030,1030.0,0.0,0.0,0.0,0.0,1000-1059,10.0,1040.0,1109.0,3.0,1130,1112.0,-18.0,0.0,0.0,-2.0,1100-1159,0.0,,0.0,120.0,102.0,89.0,1.0,589.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404948,2005,2,4,12,2,2005-04-12,AA,19805,AA,N401AA,456,15016,1501602,31123,STL,"St. Louis, MO",MO,29.0,Missouri,64,10721,1072101,30721,BOS,"Boston, MA",MA,25.0,Massachusetts,13,1303,1300.0,-3.0,0.0,0.0,-1.0,1300-1359,11.0,1311.0,1630.0,7.0,1645,1637.0,-8.0,0.0,0.0,-1.0,1600-1659,0.0,,0.0,162.0,157.0,139.0,1.0,1046.0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787305,2006,4,10,29,7,2006-10-29,YV,20378,YV,N519LR,7190,11292,1129202,30325,DEN,"Denver, CO",CO,8.0,Colorado,82,13198,1319801,33198,MCI,"Kansas City, MO",MO,29.0,Missouri,64,831,830.0,-1.0,0.0,0.0,-1.0,0800-0859,14.0,844.0,1050.0,5.0,1101,1055.0,-6.0,0.0,0.0,-1.0,1100-1159,0.0,,0.0,90.0,85.0,66.0,1.0,533.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1855104,2002,2,4,27,6,2002-04-27,UA,19977,UA,N920UA,1588,14679,1467902,33570,SAN,"San Diego, CA",CA,6.0,California,91,14771,1477101,32457,SFO,"San Francisco, CA",CA,6.0,California,91,1440,1440.0,0.0,0.0,0.0,0.0,1400-1459,8.0,1448.0,1553.0,3.0,1557,1556.0,-1.0,0.0,0.0,-1.0,1500-1559,0.0,,0.0,77.0,76.0,65.0,1.0,447.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940982,1999,1,2,22,1,1999-02-22,WN,19393,WN,N620,852,13891,1389101,32575,ONT,"Ontario, CA",CA,6.0,California,91,12889,1288902,32211,LAS,"Las Vegas, NV",NV,32.0,Nevada,85,1555,1609.0,14.0,14.0,0.0,0.0,1500-1559,5.0,1614.0,1655.0,3.0,1645,1658.0,13.0,13.0,0.0,0.0,1600-1659,0.0,,0.0,50.0,49.0,41.0,1.0,197.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499297,1988,4,12,23,5,1988-12-23,EA,19707,EA,,689,10257,1025701,30257,ALB,"Albany, NY",NY,36.0,New York,22,10397,1039702,30397,ATL,"Atlanta, GA",GA,13.0,Georgia,34,1755,1835.0,40.0,40.0,1.0,2.0,1700-1759,,,,,2029,2056.0,27.0,27.0,1.0,1.0,2000-2059,0.0,,0.0,154.0,141.0,,1.0,852.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
